news_headline,news_article,news_category
Andre Russell records best bowling figures for KKR in the history of IPL,"West Indies all-rounder Andre Russell on Tuesday recorded the best bowling figures for Kolkata Knight Riders in the history of IPL. Russell picked a five-wicket haul, conceding 15 runs against Mumbai Indians. Notably, these are also the best figures recorded against the MI in the history of IPL. Russell surpassed Harshal Patel's figures of 5/27. ",sports
"New name, new jersey, still Sadda Punjab won't stop giving us heart attacks: Zinta","Following Punjab Kings' last ball four-run win against Rajasthan Royals, Punjab Kings co-owner Preity Zinta tweeted, ""Yeah...What a game ! We have a New name & a New Jersey, still Sadda Punjab won’t stop giving us heart attacks in a game."" She added, ""What to do ? Not a perfect game for us but in the end it was perfect.""",sports
Bhuvneshwar marks return to int'l cricket with ICC Player of the Month award,"India pacer Bhuvneshwar Kumar, who returned to international cricket after 15 months, has been named the ICC Men's Player of the Month for March. Bhuvneshwar took six ODI wickets and four T20I wickets against England in the month of March. ""After what seemed like a really long and painful gap...I was delighted to be playing for India again,"" Bhuvneshwar said.",sports
"Rajasthan Royals' Riyan Parag tweets 'I am shit' after team's defeat, deletes it later",Rajasthan Royals all-rounder Riyan Parag tweeted 'I am shit' after his team's four-run defeat against Punjab Kings in IPL 2021 on Monday. The 19-year-old had picked up the wicket of Chris Gayle in the match and had scored 25 runs off just 11 deliveries. Several fans showed support to Parag before he decided to delete the tweet.,sports
Rohit Sharma's fans call for boycott of Swiggy for mocking the cricketer,"Swiggy has apologised after Rohit Sharma's fans called to boycott the service for mocking the cricketer. '#BoycottSwiggy' began trending after Swiggy's Twitter handle retweeted a morphed image showing the cricketer reaching out for the food at a vada pav stall and tweeted, ""Haters will say it's photoshopped!"" Swiggy apologised and tweeted, ""It wasn't meant to offend anyone in the least.""",sports
"Latest rankings for ODI batsmen out, Babar overtakes Kohli to become no.1 batsman","The ICC on Wednesday released the latest rankings for ODI batsmen, with Pakistan captain Babar Azam overtaking Virat Kohli to become the new world number one batsman. Pakistan opener Fakhar Zaman gained five slots to reach a career-best seventh position. Rohit Sharma remains at the third position, while Shikhar Dhawan is the third best-ranked Indian at the 17th position.",sports
Hiren got no chill: Sehwag as MI fan asks Maha CM to come to the point during speech,"Ex-India opener Virender Sehwag shared a screenshot wherein a Mumbai Indians fan can be seen asking Maharashtra CM Uddhav Thackeray ""to come to the point"" during his address as Mumbai Indians' batting was going on. ""Hiren got no chill,"" Sehwag wrote. Another picture went viral wherein a fan can be seen asking Thackeray to address the public in innings break.",sports
"MI record their 1st win of IPL 2021, beat KKR for 11th time in their last 12 matches",Mumbai Indians defeated Kolkata Knight Riders by 10 runs in their IPL 2021 match. This is Mumbai Indians' 11th victory against Kolkata Knight Riders in their last 12 matches in IPL. The match witnessed KKR all-rounder Andre Russell register the third best bowling figures in a defeat in IPL. Russell bowled 2 overs and took five wickets for 15 runs.,sports
"Shah Rukh Khan calls KKR's performance vs MI disappointing, apologises to fans","Actor and co-owner of KKR Shah Rukh Khan expressed his disappointment after his team's 10-run defeat against MI on Tuesday. Reacting to KKR losing the match despite needing just 31 runs off the last 30 deliveries with six wickets in hand, Shah Rukh tweeted, ""Disappointing performance, to say the least @KKRiders apologies to all the fans!""",sports
"Andre Russell responds to SRK's apology tweet, says 'It's not end of the world'","KKR all-rounder Andre Russell has reacted to team's co-owner Shah Rukh Khan's tweet apologising to fans following their 10-run defeat against MI. ""I support that tweet but...in cricket, you aren't sure until it's over,"" Russell said. He added, ""We're definitely disappointed but it's not...end of the world, it's only the second game and we are going to learn from it.""",sports
"Suryakumar Yadav smashes 99-metre six against KKR, Hardik Pandya's reaction goes viral","On the fifth ball of KKR fast bowler Pat Cummins' second over, MI batsman Suryakumar Yadav smashed a 99-metre six off a 135.1-kmph delivery. Yadav smashed the ball over the deep square boundary. In a video shared by IPL, Yadav's teammate Hardik Pandya can be seen stunned by the shot. His 'shocked' reaction went viral on social media.",sports
